ID,Translation
147532,startseq স জ ন র শহর থ ক দ র য য য র র স থ ন য য ত ৷ endseq
147533,startseq এক ক ক ক ক ক র স র স র স র স র স র র গ র গ endseq
147534,startseq ন ন ন র র জ ত য র ন ন র জন য ন ন ব শ ন ত র ক ন ত ক ন য য ছ
147535,startseq ২০১১ স ল র জ ল র আদমশ ম ল র ল র জনস খ য ল endseq
147536,startseq ক ন গ ন হল ভ রত র ল ল র জ ল য গ র ল র র ল র র জন য ব স থ ন র
147537,startseq আজক র ক ন র খ র খ endseq
147538,startseq ভ র র র ম ত র ম ত র ন ম ত ন ন ন ন ন ন ন র জ র র র ন জ ত কর
147541,startseq চ শ শ শ শ র র র চ চ র প রয় জন য চ র র ব শ র প রয় জন পড endseq
147542,startseq জ ন র র গ র র গ র র গ র র গ র অন ক ব য য় ৷ endseq
147543,startseq এট ম থ ক প র ড ও ম ট র র প রস ত ত ল র ট ব ল সবজ র ধ প ত প র endseq
147544,startseq ব খ য ত ব র ব খ য ত র জন য ব খ য ত ব ভ ন ন র র ব ভ ত র ভ ম
147545,startseq প র ব র এব এব স ক র র মধ য সময র থক য প র থক য ক endseq
147546,startseq দয কর জ জ য জ গ ন ব জ ন endseq
147547,startseq ত ল ক অপস রণ কর ন endseq
147548,startseq স ন র র র ন য প র প ন শ র ন ন ন ন ন ন র স থ ন য র ত র গ য
147550,startseq ত র স ষ ক ষ ত র ক থ ক ৷ endseq
147551,startseq ব ন ড র গ য র স ন স ন স ন দর গ ল স ন দর ব স ন দর ব দ দ ত হয endseq
147552,startseq প র র র র র র র ক র র ক ষ ত র স থ ন থ ক এব স ক র স ক ক ক ক
147553,startseq ত ম র জন য অন ক ন ন ন ছ endseq
147554,startseq প র র র র র র র র র র গ র এই সমস য র প রধ ন সমস য র সমস য ৷ endseq
147555,startseq আজ আম ক খ ন য খ ন আবহ ওয ক মন endseq
147556,startseq ল ল র র ন ন ন র ম র র ন ন ন ন ন ন র র র হ ন র উপর ন র ভরশ ল endseq
147557,startseq এই জন য জল র জল জল র খ খ ন ৷ endseq
147558,startseq বরফ র ঝ ল ও ঝ ল ও ক ও ম ম ম র ম ঝ ম ঝ ম ঝ ম ৷ endseq
147559,startseq ক ন র র র ন ম র র র র র ম র র র ন ন ন ন ম র ম র ম র ত র ম
147560,startseq আম র ম ব ইল নম বর এর জন য ট ড র ট ড উনল ড র ট ক ফ ন চ ই endseq
147561,startseq আপন র আপন র আপন র থ ক আপন আপন র আপন র আপন র আপন র ব র র র র র র র র খরচ খরচ হব
147562,startseq ম ম ব র ট ট র প র য র প র ট ল প র য র প র ম ল য ব স কর ন endseq
