word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
rotate,+,uss,-,albania,seaward,stowed,pna,prescribe
humber,+,perils,-,lakewood,croats,clubman,hamm,netflix
alphonso,+,åberget,-,socks,uchikoshi,andrés,gainsborough,defamation
coiner,+,digs,-,distributions,erzherzog,abdicated,spat,carbonaria
charted,+,merging,-,singles,filled,rendezvoused,stayed,fits
griesemer,+,withdraws,-,tunneling,neaira,musicomh,delany,grenadier
katra,+,workouts,-,arm,boku,refuted,ravenelii,otra
morphemes,+,verso,-,specialise,futurama,npf4,mirabeau,sadistic
connelly,+,reagent,-,codons,coyotes,fordham,hollies,hartebeest
chattanooga,+,trajan,-,pickled,732,g.one,wey,panes
kennington,+,wetter,-,recess,resettle,quoll,kwazulu,malibu
cooing,+,helmand,-,037,professorship,swann,coruscant,martinez
shallows,+,traded,-,ceremonial,counteroffensive,teatro,transported,deciphered
africanus,+,shinplasters,-,quotas,hamurabi,puente,deane,albright
newsday,+,retina,-,segregation,sherbrooke,camerawork,hitfix,seduction
daddy,+,competitions,-,1119,descends,storytelling,metropolis,innovations
belmont,+,anthochaera,-,spy,limpet,pagnell,1241,191
sedimentation,+,horrible,-,sect,magnolia,boring,experiencing,shirtless
uncompromising,+,embraces,-,saviour,ramirez,reassures,timid,brevity
pleased,+,available,-,1907,unable,liable,altered,essential
pressure,+,fagrskinna,-,development,remit,987,sand,zoom
playthrough,+,standardisation,-,omloop,elephantine,spreadsheet,refund,replaying
macedonian,+,stilianou,-,sharps,mustang,kippur,walmsley,rinehart
crosses,+,tomasevich,-,meru,swinging,intersect,flows,relates
stiffer,+,antebellum,-,overseer,boku,unlike,survivability,crescents
emanated,+,protocols,-,counterattacked,1425,culturally,resonates,rootlets
arête,+,mechanized,-,melodramas,ferrying,besiegers,fgd,pilgrim
purged,+,stars,-,allentown,dipper,quirks,forgiving,misrepresenting
rubenstein,+,grande,-,heavily,gambia,gossett,capo,fai
giordano,+,feeble,-,archival,dumbfounded,deranged,widowed,neoscapteriscus
sinhalese,+,bloated,-,trodden,tenshin,scum,withoos,forbade
ragnar,+,theft,-,commemorative,outskirts,mason,duke,chancellor
innovative,+,scanning,-,283,adhered,realistic,method,highly
crystal,+,confuse,-,hours,benítez,celebrate,furnish,umbrella
dougray,+,pitched,-,despuig,slater,ej,threw,awoke
1152,+,catalinas,-,overbearing,aptly,windward,wdtv,ghosh
fossil,+,conglomerates,-,reprinting,agincourt,soundscapes,muganga,hence
spanked,+,vkj,-,eminently,henning,1760s,visuddhimagga,urals
aplomb,+,sorraia,-,prevents,featurettes,brians,magnirostris,besakana
paleo,+,damn,-,475,hastily,illinoise,sobriquet,signified
sampy,+,ruber,-,sainsbury,disappointingly,hopf,keto,leccinum
rectory,+,shown,-,breyer,arises,runways,shipwrecked,hiding
same,+,saturdays,-,fauchet,parted,mornings,meditations,meditations
coxon,+,cabling,-,ensuring,gresley,funky,dias,marussia
sedgemoor,+,outages,-,takeda,bromley,coverbs,downed,schuster
742,+,rave,-,popstar,389,021,156,apportionment
pack,+,pwi,-,ismail,n64,daytime,scantily,twister
blum,+,fdj,-,fences,hoyt,judy,reginald,fey
tractor,+,numbered,-,π1,surrendering,emplacements,fired,eurocopter
thatgamecompany,+,derivation,-,wear,plagiarism,skaters,aldean,nordre
unbearable,+,maya,-,athleticism,memorandum,kakashi,stortford,nervosa
condoms,+,rash,-,barricade,eccentricity,aml,segmental,symptoms
peterhead,+,ail,-,yen,fdj,dominates,matagorda,martinique
invaders,+,poisonous,-,malignant,watten,traded,ditches,c.r.u.s.h
détente,+,sustain,-,squirrels,biologists,distort,straights,reclaim
sturluson,+,thermodynamic,-,acquired,boku,unicode,goldsmith,scholastic
buckle,+,anupama,-,professional,boku,jenna,wentworth,gerrold
harmonize,+,pondicherry,-,terrance,lazcano,strides,firearms,disagreeing
dividend,+,cerebral,-,υ,freddie,resurgence,timely,undersurface
laughed,+,ijn,-,storied,dcs,kiel,provokes,placid
functionally,+,gadag,-,dem,dissidents,dingoes,qüxü,realistically
benn,+,delfino,-,pugh,tizard,drea,sakic,solis
mount,+,haynes,-,hips,spectre,carver,pedro,le
reasonable,+,fripp,-,mitsuru,gaze,cessation,justifiable,rabies
austere,+,dyneley,-,prices,gingrich,liza,journalist,frazer
steels,+,orchestrated,-,abbot,recognizing,silhouetted,borne,devised
enclosed,+,tournament,-,fairfield,reels,scratched,contested,shooters
padmarasa,+,rendition,-,raviv,asymmetrical,misunderstanding,evocative,ester
beloved,+,second,-,deserts,prowess,chameleon,third,prophetic
robbers,+,refrained,-,approximate,hangs,grosjean,schmeichel,odessa
monticola,+,stucco,-,sportscaster,borderers,spore,hagiography,stokes
quimby,+,harriet,-,.38,veins,macleod,lucas,abdul
odeon,+,downpour,-,aerodromes,melun,pax,cappella,apse
dmitry,+,throated,-,slugging,arkaig,baptiste,pataki,thompson
